,filename,rmse,chroma_stft,spec_cent,spec_bw,rolloff,zcr,mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,raga
4357,Semmangudi Srinivasa Iyer - Naarada Guruswaami.mp3-8,0.10748038440942764,0.3229589557993946,1080.8024281708567,1445.6392188327206,2006.4128674958881,0.047087394785216716,-203.24623841681165,160.90675154078258,-2.6457182910195547,42.48852711203128,-31.139041089039903,-4.93464827150634,-16.922519382743136,-4.608178537883975,-15.892982095384324,-8.801216609897098,0.34920783498729047,-16.18934751082862,-6.398106173528014,0.14069154439271428,-9.462728315570855,-3.123367756257167,-10.642971728816594,-4.413013275207956,-1.8910826147070232,-5.253458197303562,darbar
4358,Semmangudi Srinivasa Iyer - Naarada Guruswaami.mp3-9,0.09482299536466599,0.3116826182170099,1111.36699778606,1519.8380530940603,2164.2869128531347,0.04555187874903251,-228.69116102069847,156.86122238828213,5.318154449405906,39.85161294584022,-31.68290148758809,-0.7769352188325745,-12.548461911955474,-3.4113512371378447,-9.45698191667031,-12.92278533755969,-1.0053632109050188,-11.68108148070233,-6.011119189635604,0.2860633235497831,-6.7840257270093165,-1.7414626181988662,-8.233091614139106,-4.811933653636224,-3.494394039042115,-5.301470042566241,darbar
4359,Semmangudi Srinivasa Iyer - Naarada Guruswaami.mp3-10,0.10243584960699081,0.334214000453328,1152.1256018011625,1523.6182799080075,2261.519658233359,0.05105260134481424,-209.69414977691207,158.37456296050894,0.3666089067418241,39.917229400506194,-34.33048550840326,-1.4149452978060935,-15.091805240290567,-1.7762304367860622,-9.480245489854862,-11.157648994028765,1.377727242118225,-10.990545583545511,-6.049193831377117,0.24039951817856814,-8.149207707074858,-2.016580451624583,-8.751827734548934,-3.6575476202188395,-4.385929714434267,-4.69516679353695,darbar
4360,T. R. Mahalingam - Yochana.mp3-1,0.05772387236356735,0.317179462620938,1361.2004323865842,636.8788651022471,1974.6873424899193,0.1324896043346774,-321.52087803942516,172.5240006560332,-81.75537745359664,-49.41041254629009,41.37331401058913,-2.685925600041566,-43.69227096564346,-19.990557221295383,-6.857214862478687,-10.916524981770431,-9.471840254426844,-12.401996221955075,-15.514806190517888,-7.83323750343439,-1.7181657658027907,-6.199778756833576,-9.97567068693376,-10.274082728548867,-14.487250929456314,-15.231961520734266,darbar
4361,T. R. Mahalingam - Yochana.mp3-2,0.05772387236356735,0.317179462620938,1361.2004323865842,636.8788651022471,1974.6873424899193,0.1324896043346774,-321.52087803942516,172.5240006560332,-81.75537745359664,-49.41041254629009,41.37331401058913,-2.685925600041566,-43.69227096564346,-19.990557221295383,-6.857214862478687,-10.916524981770431,-9.471840254426844,-12.401996221955075,-15.514806190517888,-7.83323750343439,-1.7181657658027907,-6.199778756833576,-9.97567068693376,-10.274082728548867,-14.487250929456314,-15.231961520734266,darbar
4362,T. R. Mahalingam - Yochana.mp3-3,0.1258804351091385,0.23397992032597423,1118.0918575319677,648.8392512114003,1793.3193083732358,0.09961528162802419,-255.4620181054463,205.5715303758266,-64.94338460692744,-41.94714086186959,43.708621019891645,4.663552654492144,-28.236042105816523,-8.621783208352996,-3.622641268426917,-9.76393398149983,-4.172899721059947,1.6351705547856294,1.0174978727097785,-1.071129104993672,-4.5667415957510205,-10.55350538836266,-12.441243129159925,-10.674685304708,-13.536996934099529,-13.976046352987398,darbar
4363,T. R. Mahalingam - Yochana.mp3-4,0.10756861418485641,0.2192262890742158,1123.7873680692398,633.7880213333619,1780.6135608303932,0.09840901692708333,-269.20069542361966,187.2565686345035,-59.55092871560228,-44.38323792403589,37.294538833099736,1.0693961018458282,-32.98438926157165,-8.804299065175709,-1.4960557351613275,-10.331736624810292,-4.884532941012395,-2.6943834615491826,-5.395316553041242,-0.2332128039757804,0.3074088052035074,-8.360780317944268,-10.579844968608386,-8.373022231201677,-13.337487453534198,-15.658524259627075,darbar
4364,T. R. Mahalingam - Yochana.mp3-5,0.10311001539230347,0.20463297821644644,1138.7781939686074,619.6092362370828,1783.9998306766634,0.10273135605678764,-291.2017118289838,203.54121412157454,-68.93734535411006,-47.24398160143893,40.836127162812645,-0.10065912214913655,-35.637681988939775,-11.278506743794503,-2.6826109789770185,-9.98528810534977,-4.690526844354934,0.350515746532549,-1.7020853628293884,-1.5360138788965456,-1.479902960674404,-8.118140061421974,-12.70957310606643,-12.197637932704286,-16.479334083536006,-16.538624636162226,darbar
4365,T. R. Mahalingam - Yochana.mp3-6,0.09167878329753876,0.265788489126452,1201.29327091549,626.8238822264483,1844.7211480909777,0.10618345199092742,-291.19452813727133,186.13696628597629,-71.03256190864458,-45.087867623120765,42.7225146590379,0.8948201099915885,-40.246542064773955,-17.68163530624678,-1.6147898371473697,-4.9957722884222555,-4.612598568186799,-2.036241931621091,-2.2031618907607005,-1.8392664397572138,-0.584498354854249,-5.426175913508531,-13.443649004650812,-14.541776656980819,-13.579594242759843,-13.49207316071283,darbar
4366,T. R. Mahalingam - Yochana.mp3-7,0.1019095778465271,0.22856553934575188,1200.8948039148815,622.418961695708,1835.1122456212197,0.10748947307627688,-277.57600260035065,180.105935112737,-66.27660602304117,-49.07985850949278,37.450605876102514,2.0461890544466725,-36.48617489720935,-11.852122858913708,0.7328780818972688,-8.780976269222862,-7.991516156866598,-5.959860530927309,-7.1584234265239655,-1.9388780753789832,0.26002144864524496,-7.15866495294893,-11.53588593889314,-10.99288872270506,-14.480471626021316,-14.308537353823477,darbar
